Targets,dn_sed,q10_recs,sedrate,br0,fds,wdz,wpo4,mbnnrate,mbsrate,den_frac_denanmx,den_frac_denanmx_sed,tau_crit,erorate,sedratepo4,eroratepo4,po4ret,pburialrate,fl_burialrate,pliberationrate,ipo4th,pvel,kc,nitrif_rate,rfr,rfn,alpha_n,alpha_p,r0,deltao,nb,wz,kc,sedrate,tau_crit,temp_opt,temp_min,alpha_light,imin,rfr,rfn,alpha_p,r0,deltao,nb,wz,kc,sedrate,tau_crit,temp_opt,temp_min,alpha_light,imin,rfr,rfn,alpha_n,alpha_p,r0,deltao,nb,wz,kc,sedrate,tau_crit,tll,alpha_light,imin,rfr,rfn,alpha_n,alpha_p,r0,deltao,nb,wz,kc,sedrate,tau_crit,temp_opt,temp_min,alpha_light,imin
selmaprotbas_po_731__0_5.mean(),0.086,0.0301,0.181,0.0109,0.00275,0.207,0.000104,0.0346,0.15,8.38e-07,0.00219,0.00014,2.33e-05,0.000117,4.3e-08,0.00423,0.00133,0.1,0.000176,2.98e-06,0.00671,0.00162,0.000138,0.00071,2e-05,0.000194,1.13e-05,0.00445,0.000336,0.000179,0,0.00251,3.53e-07,2.18e-07,0.00222,0.000376,0.00184,0.00669,0.0213,7.81e-05,7.41e-05,0.0654,0.0491,0.0118,0,0.0279,2.65e-06,1.7e-07,0.138,0.0214,0.112,0.105,0.000199,1.03e-05,8.08e-06,1.1e-06,0.000297,7.65e-06,1e-05,0,1.75e-05,3.6e-07,3.72e-07,0.000119,6.85e-05,0.000515,0.0902,0.000329,0.000824,0.000434,0.132,0.0486,0.0138,0,0.09,1.19e-05,3.19e-07,0.06,0.0223,0.084,0.0699
selmaprotbas_po_731__-5_.mean(),0.153,0.0478,0.0156,0.0132,0.00438,0.0721,0.00023,0.0323,0.134,3.27e-06,0.00788,0.00024,4.72e-05,6.47e-05,1.1e-07,0.0509,0.0033,0.221,0.000514,7.95e-06,0.00633,0.00202,0.00044,0.000621,3.95e-05,6.75e-05,7.71e-06,0.00587,0.000372,0.000149,0,0.000935,1.8e-06,1.36e-06,0.00117,0.000494,0.00102,0.00329,0.031,0.000114,0.000335,0.0932,0.0618,0.0188,0,0.0564,8.7e-06,8.73e-07,0.206,0.0217,0.12,0.145,8.12e-05,1.52e-05,3.1e-05,4.06e-06,0.000286,2.13e-05,2.3e-05,0,1.79e-05,1.23e-06,8.02e-07,0.000198,0.000309,0.00022,0.049,0.000894,0.00296,0.000772,0.128,0.0524,0.015,0,0.127,0.000115,1.33e-06,0.0679,0.0227,0.0515,0.0656
selmaprotbas_DO_mg_731__0_5.mean(),0.287,0.0955,0.0606,0.0648,0.047,0.176,1.96e-05,0.0118,0.0796,7.93e-06,0.0139,0.000732,4.75e-05,1.43e-05,6.83e-07,0.000345,0.00145,0.267,9.44e-05,0.000124,0.117,0.0042,0.00145,0.000214,0.000141,9.25e-05,6.44e-05,0.0175,0.00267,0.00107,0,0.000346,2.26e-05,5.53e-06,0.00375,0.00194,0.00159,0.00559,0.00215,0.000269,0.00255,0.0463,0.024,0.01,0,0.0148,2.37e-05,3.78e-06,0.0228,0.0193,0.0162,0.0248,0.071,0.000747,3.02e-05,1.26e-05,0.000199,6.37e-05,5.29e-05,0,3.86e-05,3.35e-06,6.25e-06,0.00116,0.00454,0.00257,5.04e-05,0.000842,0.00176,0.000767,0.0765,0.0699,0.0425,0,0.0159,7.93e-05,5.98e-06,0.0453,0.0168,0.0195,0.0396
selmaprotbas_DO_mg_731__-5_.mean(),0.0548,0.0455,0.0303,0.0127,0.00302,0.168,4.15e-06,0.0169,0.0594,5.31e-06,0.0296,0.000158,3.4e-05,2.47e-06,3.99e-07,0.00116,0.000109,0.0676,1.75e-05,2.96e-07,0.557,0.00806,0.00359,0.00178,0.00028,0.000548,5.83e-05,0.154,0.0095,0.0017,0,0.00139,1.77e-06,1.55e-06,0.0021,0.00228,0.0475,0.0517,0.008,0.00361,0.000112,0.0725,0.111,0.046,0,0.0262,5.38e-06,1.18e-06,0.109,0.0816,0.0577,0.074,0.000502,5.68e-05,1.9e-05,2.2e-06,0.000572,0.000361,2.28e-05,0,2.47e-05,1.32e-06,1.19e-06,0.000558,0.00469,0.00262,0.000231,0.0145,0.0186,0.0624,0.886,0.117,0.0391,0,0.124,3.25e-05,1.12e-06,0.163,0.0365,0.037,0.127
selmaprotbas_aa_731__0_5.mean(),0.0577,0.023,0.301,0.00841,0.00424,0.235,4.63e-07,0.0335,0.122,3.03e-06,0.00285,0.000182,3.1e-05,8.59e-07,6.95e-08,0.000165,1.35e-05,0.0708,2.56e-06,2.47e-07,0.00789,0.00246,0.00121,0.000649,0.00225,0.00033,2.82e-05,0.0129,0.000421,0.000178,0,0.00419,5.44e-07,2.9e-07,0.00495,0.00121,0.00491,0.0143,7.99e-05,0.00271,2.39e-05,0.0465,0.0623,0.015,0,0.0172,3.97e-06,4.17e-07,0.0842,0.0193,0.052,0.0512,6.25e-05,6.21e-05,1.06e-05,6.81e-07,0.00022,2.28e-05,1.85e-05,0,4.26e-05,6.64e-07,1.02e-06,0.000238,9.91e-05,0.000615,4.93e-05,0.0406,0.000679,0.000283,0.134,0.0732,0.0207,0,0.0655,1.38e-05,6.22e-07,0.0572,0.018,0.0684,0.0831
selmaprotbas_aa_731__-5_.mean(),0.0447,0.0106,0.0161,0.00319,0.00103,0.0612,1.61e-06,0.0143,0.0737,2.14e-05,0.0225,0.00059,2.55e-05,1.84e-06,1.16e-06,0.000328,1.04e-05,0.0421,9.86e-06,1.31e-07,0.318,0.00877,0.073,0.00109,0.000845,0.000251,4.61e-06,0.0158,7.81e-05,4.02e-05,0,0.00276,1.42e-06,1.9e-06,0.00188,0.000328,0.00439,0.0147,0.000132,0.0017,1.93e-05,0.0565,0.128,0.0346,0,0.0283,8.71e-06,1.76e-06,0.0576,0.04,0.0373,0.0572,3.28e-05,3.97e-05,1.02e-05,1.48e-06,0.00013,0.000416,5.28e-06,0,1.76e-05,1.9e-06,1.45e-06,0.000114,2.59e-05,0.0003,2.63e-05,0.027,0.00123,1.26e-05,0.18,0.0522,0.0213,0,0.314,5.86e-06,1.67e-06,0.144,0.0308,0.0454,0.164
selmaprotbas_nn_731__0_5.mean(),0.487,0.126,0.0392,0.00487,0.0491,0.0246,1.29e-06,1.06,0.225,4.34e-05,0.0907,0.000107,1.45e-05,8.92e-07,6.7e-08,0.00029,2.14e-05,0.0861,4.98e-06,4.62e-07,0.0744,0.000295,0.0253,0.000147,9.49e-05,7.18e-06,3.6e-05,0.0044,0.00222,0.00038,0,0.000359,1.38e-06,6.9e-07,0.00552,0.000361,0.00645,0.00114,0.00222,0.106,0.000957,0.436,0.462,0.615,0,0.105,0.000212,2.09e-06,0.225,0.329,0.0218,0.0362,0.000251,3.76e-05,1.78e-06,3.37e-06,0.000555,0.000449,5.32e-06,0,2.47e-06,3.03e-06,5.73e-07,0.000475,0.00288,0.000319,0.000188,0.000974,4.91e-05,0.00129,0.161,0.247,0.143,0,0.00632,0.000113,8.27e-07,0.162,0.00748,0.0519,0.614
selmaprotbas_nn_731__-5_.mean(),0.173,0.0202,0.036,0.00873,0.00977,0.082,5.46e-07,0.391,0.0587,6.01e-05,0.0601,8.43e-05,6.91e-06,2.75e-07,1.06e-08,7.56e-05,1.1e-05,0.0139,1.73e-06,5.99e-07,0.0392,0.000356,0.00277,0.000204,0.000302,3.53e-06,1.74e-05,0.0121,0.0073,0.000281,0,0.000291,5.19e-07,1.16e-07,0.00352,0.0014,0.00296,0.00426,0.0069,0.0669,0.000695,0.323,0.266,0.173,0,0.108,7.65e-05,5.05e-07,0.486,0.303,0.0566,0.151,0.000168,5.66e-05,1.64e-06,1.74e-06,0.000626,7.24e-06,5.94e-06,0,1.74e-06,7.85e-07,2.06e-07,0.000357,0.0057,0.000447,5.53e-05,0.000638,9.09e-05,0.00039,0.121,0.0961,0.0468,0,0.00281,2.2e-05,3.73e-07,0.0656,0.012,0.0897,0.188
CyanoMC_c_731__-5_.mean(),0.00836,0.00533,0.00604,0.002,0.0005,0.0234,7.06e-07,0.00281,0.00848,1.08e-06,0.00189,9.61e-05,6.01e-06,9.79e-07,2.43e-08,6.38e-05,2.18e-06,0.00684,1.44e-06,1.41e-08,0.00485,0.00269,0.000315,0.0684,0.000111,0.00518,0.00106,0.283,0.0683,0.0251,0,0.0576,9.29e-06,4.35e-07,0.19,0.0525,0.099,0.158,4.82e-06,0.000207,2.36e-06,0.00591,0.0148,0.00267,0,0.00121,1.23e-06,5.25e-07,0.00344,0.00789,0.00569,0.00295,3.42e-05,3.47e-06,9.96e-05,2.3e-06,0.00191,0.000149,4.13e-05,0,5.87e-06,6.69e-07,4.52e-07,0.00149,0.000653,0.00167,5.19e-06,0.000155,0.00123,0.000307,0.0372,0.0455,0.00865,0,0.00608,1.34e-05,6.78e-07,0.0237,0.015,0.0255,0.0442
NfixCyano_c_731__-5_.mean(),0.00158,0.00476,0.000475,0.000171,5.93e-05,0.00391,6.43e-08,0.00296,0.0036,3.42e-07,0.00161,4.97e-06,2.94e-07,8.53e-08,1.87e-08,2.76e-05,3.97e-06,0.00117,5.85e-07,1.24e-07,0.00206,0.00174,6.88e-05,0.00027,5.75e-06,5.48e-05,1.9e-07,0.00432,0.0016,0.000663,0,0.000382,1.34e-07,8.56e-08,0.000519,0.000131,0.00022,0.00245,0.00164,0.000144,7.07e-05,0.2,0.411,0.0799,0,0.107,2.91e-05,1.15e-07,0.426,0.14,0.063,0.172,1.43e-06,2.49e-06,3.24e-06,9.04e-08,0.000112,1.36e-06,2.89e-06,0,1.15e-06,8.2e-08,5.04e-08,2.79e-05,0.000621,2.45e-05,6.27e-06,1.06e-05,0.00131,1.43e-05,0.0436,0.0536,0.00334,0,5.61e-05,1.57e-06,2.42e-07,0.0566,0.00929,0.0206,0.0273
