Targets;dn;dn_sed;q10_rec;q10_recs;sedrate;br0;fds;pvel;wdz;wpo4;mbnnrate;mbsrate;nitrif_rate;den_frac_denanmx;den_frac_denanmx_sed;ade_r0;alphaade;kc;tau_crit;erorate;sedratepo4;eroratepo4;po4ret;pburialrate;fl_burialrate;pliberationrate;ipo4th
selmaprotbas_DO_mg___0_5.mean();0.154;0.335;0.104;0.135;0.0521;0.131;0.0326;0.0706;0.445;9.07E-08;0.00203;0.00483;1.56E-05;1.62E-05;0.00191;1.46E-05;2.46E-07;0.00433;1.11E-05;6.51E-06;2.13E-07;1.28E-12;1.88E-06;7.62E-07;0.112;6.73E-07;0
selmaprotbas_DO_mg___-5_.mean();0.00161;0.0806;0.00137;0.0259;0.00363;0.00299;0.00287;0.923;0.00144;2.35E-07;0.00113;0.024;1.96E-06;2.03E-06;0.000251;0.000206;1.00E-06;8.95E-05;2.75E-07;3.39E-08;1.83E-07;1.14E-11;5.74E-07;1.26E-07;0.0308;9.02E-08;0
selmaprotbas_nn___0_5.mean();0.287;0.126;0.271;0.0523;0.0462;0.0389;0.0146;0.00118;0.421;6.77E-07;0.218;0.127;0.00028;0.000888;0.0438;0.0297;2.28E-05;0.00915;1.25E-05;3.14E-06;2.38E-06;7.22E-09;1.41E-05;1.23E-05;0.0491;3.52E-06;0
selmaprotbas_nn___-5_.mean();0.0212;0.113;0.0279;0.0294;0.173;0.0993;0.00413;0.000291;0.0194;1.34E-06;0.0522;0.421;0.00109;0.00185;0.0213;0.00879;1.70E-05;0.0151;9.31E-06;1.91E-06;4.36E-06;3.72E-12;2.19E-05;1.61E-05;0.101;1.48E-05;0
selmaprotbas_aa___0_5.mean();0.0295;0.273;0.0192;0.0858;0.136;0.0359;0.000619;0.000144;0.0715;7.96E-07;0.00816;0.351;0.000179;5.91E-05;0.000909;0.000725;8.40E-06;0.00223;8.21E-07;2.30E-07;3.20E-07;1.78E-10;5.05E-06;7.71E-07;0.161;7.15E-07;0
selmaprotbas_aa___-5_.mean();0.00638;0.0152;0.0131;0.00499;0.023;0.022;0.00151;0.000446;0.00753;9.17E-08;0.00898;0.0457;0.733;7.21E-05;0.00562;6.53E-05;3.23E-06;0.00187;2.98E-06;2.47E-07;3.56E-06;1.28E-12;8.20E-06;6.83E-06;0.0282;4.69E-06;0
selmaprotbas_po___0_5.mean();0.0172;0.198;0.0173;0.049;0.164;0.0291;0.00242;0.00032;0.37;0.000156;0.02;0.171;7.52E-06;0.000268;0.0278;0.000753;1.10E-05;0.102;2.94E-06;2.70E-06;0.000107;8.74E-10;0.000519;0.00116;0.0924;0.000163;0
selmaprotbas_po___-5_.mean();0.126;0.298;0.141;0.092;0.00952;0.00384;0.000367;2.20E-05;0.0734;1.71E-05;0.00551;0.185;1.44E-05;1.91E-05;0.00427;3.43E-05;5.24E-06;0.0475;4.14E-06;2.52E-07;2.33E-06;1.68E-11;0.00594;0.000495;0.0984;0.000154;0
selmaprotbas_H2S_mg___0_5.mean();0.0771;0.276;0.0448;0.091;0.0713;0.0339;0.00159;0.000646;0.106;5.12E-06;0.0097;0.327;1.74E-05;3.74E-05;0.00472;0.00301;1.89E-05;0.00501;2.62E-06;1.07E-06;2.55E-06;7.46E-10;3.51E-05;3.08E-06;0.184;2.70E-06;0
selmaprotbas_H2S_mg___-5_.mean();0.0246;0.733;0.00021;1.77;0.245;0.366;0.262;0.757;0.000529;0;0.112;0.735;2.52E-05;2.67E-08;0.000327;2.78E-06;3.76E-12;0.000448;8.89E-14;0;0;0;0;0;0.233;0;0
