Level,Area_km2,Volume_million_m3
-208.9,166.77518,4412.9107
-208.91,166.76231,4411.2374
-208.92,166.7494,4409.5642
-208.93,166.73644,4407.8912
-208.94,166.72343,4406.2182
-208.95,166.71038,4404.5453
-208.96,166.69728,4402.8725
-208.97,166.68414,4401.1997
-208.98,166.67096,4399.5271
-208.99,166.65774,4397.8546
-209,166.64448,4396.1821
-209.01,166.63118,4394.5098
-209.02,166.61785,4392.8375
-209.03,166.60447,4391.1654
-209.04,166.59106,4389.4933
-209.05,166.57762,4387.8214
-209.06,166.56414,4386.1495
-209.07,166.55063,4384.4777
-209.08,166.53709,4382.8061
-209.09,166.52352,4381.1345
-209.1,166.50992,4379.4631
-209.11,166.49628,4377.7917
-209.12,166.48263,4376.1204
-209.13,166.46894,4374.4493
-209.14,166.45523,4372.7782
-209.15,166.44149,4371.1073
-209.16,166.42773,4369.4364
-209.17,166.41395,4367.7657
-209.18,166.40014,4366.095
-209.19,166.38632,4364.4245
-209.2,166.37247,4362.7541
-209.21,166.35861,4361.0838
-209.22,166.34473,4359.4136
-209.23,166.33083,4357.7435
-209.24,166.31691,4356.0735
-209.25,166.30298,4354.4037
-209.26,166.28904,4352.7339
-209.27,166.27508,4351.0643
-209.28,166.26112,4349.3947
-209.29,166.24714,4347.7253
-209.3,166.23315,4346.056
-209.31,166.21915,4344.3868
-209.32,166.20514,4342.7177
-209.33,166.19113,4341.0488
-209.34,166.17711,4339.38
-209.35,166.16309,4337.7112
-209.36,166.14906,4336.0426
-209.37,166.13503,4334.3742
-209.38,166.121,4332.7058
-209.39,166.10696,4331.0376
-209.4,166.09293,4329.3695
-209.41,166.0789,4327.7015
-209.42,166.06487,4326.0336
-209.43,166.05084,4324.3659
-209.44,166.03682,4322.6982
-209.45,166.0228,4321.0307
-209.46,166.00879,4319.3634
-209.47,165.99478,4317.6961
-209.48,165.98078,4316.029
-209.49,165.9668,4314.362
-209.5,165.95282,4312.6952
-209.51,165.93885,4311.0285
-209.52,165.92489,4309.3619
-209.53,165.91095,4307.6954
-209.54,165.89702,4306.0291
-209.55,165.88311,4304.3629
-209.56,165.86921,4302.6968
-209.57,165.85533,4301.0309
-209.58,165.84147,4299.3651
-209.59,165.82762,4297.6994
-209.6,165.8138,4296.0339
-209.61,165.79999,4294.3685
-209.62,165.78621,4292.7032
-209.63,165.77245,4291.0381
-209.64,165.75872,4289.3731
-209.65,165.74501,4287.7083
-209.66,165.73132,4286.0436
-209.67,165.71767,4284.3791
-209.68,165.70404,4282.7146
-209.69,165.69044,4281.0504
-209.7,165.67687,4279.3862
-209.71,165.66333,4277.7223
-209.72,165.64982,4276.0584
-209.73,165.63634,4274.3947
-209.74,165.6229,4272.7312
-209.75,165.60949,4271.0678
-209.76,165.59612,4269.4045
-209.77,165.58279,4267.7414
-209.78,165.56949,4266.0785
-209.79,165.55623,4264.4157
-209.8,165.54301,4262.753
-209.81,165.52984,4261.0905
-209.82,165.5167,4259.4282
-209.83,165.50361,4257.766
-209.84,165.49056,4256.1039
-209.85,165.47755,4254.442
-209.86,165.46459,4252.7803
-209.87,165.45168,4251.1187
-209.88,165.43882,4249.4573
